+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 4172  | 0   | 4169 | 0   | 3   | 0   | GET    | /api/announcements                                                                            | 0.004 | 5.000 | 941.960 | 0.226 | 0.552 | 0.896 | 2.220 | 0.440  | 232.000     | 4031.000    | 13687499.000 | 3280.800    |
| 1235  | 0   | 1231 | 0   | 4   | 0   | GET    | /api/courses                                                                                  | 0.000 | 5.004 | 302.936 | 0.245 | 0.528 | 0.972 | 3.316 | 0.532  | 3.000       | 7902.000    | 4377059.000  | 3544.177    |
| 65    | 0   | 17   | 0   | 48  | 0   | GET    | /api/users/me/grades                                                                          | 0.160 | 5.004 | 236.804 | 3.643 | 5.000 | 5.000 | 5.004 | 2.193  | 26153.000   | 26764.000   | 273168.000   | 4202.585    |
| 588   | 0   | 583  | 0   | 5   | 0   | POST   | /api/announcements                                                                            | 0.008 | 5.000 | 179.472 | 0.305 | 0.736 | 1.108 | 3.268 | 0.554  | 0.000       | 23.000      | 60.000       | 0.102       |
| 426   | 0   | 420  | 0   | 6   | 0   | POST   | /api/courses                                                                                  | 0.004 | 5.000 | 104.368 | 0.245 | 0.720 | 1.044 | 1.964 | 0.460  | 36.000      | 43.000      | 15248.000    | 35.793      |
| 472   | 0   | 471  | 0   | 1   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 4.612 | 103.008 | 0.218 | 0.592 | 0.936 | 1.884 | 0.423  | 22.000      | 63.000      | 26749.000    | 56.672      |
| 404   | 0   | 402  | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 2.316 | 102.876 | 0.255 | 0.544 | 0.744 | 1.760 | 0.316  | 0.000       | 246.000     | 268.000      | 0.663       |
| 402   | 0   | 401  | 0   | 1   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 3.560 | 101.960 | 0.254 | 0.548 | 0.828 | 2.768 | 0.455  | 3.000       | 2825.000    | 775114.000   | 1928.144    |
| 237   | 0   | 237  | 0   | 0   | 0   | GET    | /api/courses/01HDWKY2YSV6VKV0Y0XPC372AY/classes                                               | 0.004 | 2.216 | 58.744  | 0.248 | 0.800 | 1.176 | 1.620 | 0.377  | 300.000     | 1457.000    | 204966.000   | 864.835     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HDWKY34AC46SWH2FAXYKCP3V/classes                                               | 0.004 | 3.444 | 56.704  | 0.235 | 0.520 | 1.144 | 2.672 | 0.457  | 284.000     | 1525.000    | 213441.000   | 885.647     |
