+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 4436  | 0   | 4427 | 0   | 9   | 0   | GET    | /api/announcements                                                                            | 0.004 | 5.004 | 946.480 | 0.213 | 0.500 | 0.796 | 2.264 | 0.436  | 379.000     | 4015.000    | 14534876.000 | 3276.573    |
| 69    | 0   | 18   | 0   | 51  | 0   | GET    | /api/users/me/grades                                                                          | 0.072 | 5.008 | 252.344 | 3.657 | 5.004 | 5.004 | 5.008 | 2.181  | 12108.000   | 26507.000   | 278442.000   | 4035.391    |
| 1030  | 0   | 1029 | 0   | 1   | 0   | GET    | /api/courses                                                                                  | 0.000 | 4.880 | 231.796 | 0.225 | 0.516 | 0.856 | 2.608 | 0.474  | 3.000       | 8159.000    | 3740796.000  | 3631.841    |
| 552   | 0   | 547  | 0   | 5   | 0   | POST   | /api/announcements                                                                            | 0.008 | 5.000 | 142.480 | 0.258 | 0.540 | 1.052 | 2.260 | 0.491  | 0.000       | 23.000      | 60.000       | 0.109       |
| 340   | 0   | 337  | 0   | 3   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 5.000 | 95.660  | 0.281 | 0.592 | 0.920 | 2.612 | 0.466  | 0.000       | 246.000     | 268.000      | 0.788       |
| 337   | 0   | 331  | 0   | 6   | 0   | POST   | /api/courses                                                                                  | 0.004 | 5.000 | 82.904  | 0.246 | 0.660 | 1.116 | 3.052 | 0.583  | 36.000      | 43.000      | 12044.000    | 35.739      |
| 334   | 0   | 333  | 0   | 1   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 3.820 | 81.020  | 0.243 | 0.540 | 0.876 | 1.716 | 0.397  | 3.000       | 2740.000    | 581725.000   | 1741.692    |
| 383   | 0   | 381  | 0   | 2   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 5.004 | 71.860  | 0.188 | 0.388 | 0.660 | 2.852 | 0.481  | 54.000      | 63.000      | 21615.000    | 56.436      |
| 240   | 0   | 240  | 0   | 0   | 0   | GET    | /api/courses/01HDWM6MPRK4M4YDRX5JEKHHHQ/classes                                               | 0.008 | 3.584 | 57.072  | 0.238 | 0.572 | 0.772 | 2.280 | 0.461  | 273.000     | 1293.000    | 188849.000   | 786.871     |
| 242   | 0   | 242  | 0   | 0   | 0   | GET    | /api/courses/01HDWM6MQ6EJR222M714FBWPY4/classes                                               | 0.008 | 2.944 | 56.315  | 0.233 | 0.660 | 0.992 | 2.216 | 0.411  | 283.000     | 1390.000    | 197167.000   | 814.740     |
