+-------+-----+------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9158  | 0   | 9136 | 0   | 22  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.005 | 2349.130 | 0.257 | 0.612 | 0.960 | 2.212 | 0.449  | 306.000    | 569.000     | 3702921.000   | 404.337    |
| 7847  | 0   | 7814 | 0   | 33  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.008 | 5.001 | 2073.170 | 0.264 | 0.592 | 0.936 | 2.624 | 0.504  | 0.000      | 42.000      | 155.000       | 0.020      |
| 7868  | 0   | 7846 | 0   | 22  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1880.869 | 0.239 | 0.556 | 0.924 | 2.285 | 0.452  | 492.000    | 1641.000    | 5609860.000   | 712.997    |
| 4238  | 0   | 4221 | 0   | 17  | 0   | GET    | /api/announcements                                                       | 0.000 | 5.004 | 944.732  | 0.223 | 0.516 | 0.820 | 2.108 | 0.464  | 220.000    | 4113.000    | 14209036.000  | 3352.769   |
| 1275  | 0   | 1271 | 0   | 4   | 0   | GET    | /api/courses                                                             | 0.004 | 5.000 | 268.492  | 0.211 | 0.444 | 0.728 | 2.324 | 0.472  | 2673.000   | 8033.000    | 4562815.000   | 3578.678   |
| 415   | 0   | 410  | 0   | 5   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.036 | 5.000 | 187.176  | 0.451 | 0.964 | 1.240 | 2.204 | 0.546  | 22.000     | 1183030.000 | 174346248.000 | 420111.441 |
| 545   | 0   | 536  | 0   | 9   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 140.196  | 0.257 | 0.592 | 0.908 | 4.308 | 0.601  | 42.000     | 42.000      | 22676.000     | 41.607     |
| 527   | 0   | 524  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.004 | 3.492 | 139.717  | 0.265 | 0.684 | 0.948 | 2.184 | 0.393  | 0.000      | 23.000      | 60.000        | 0.114      |
| 417   | 0   | 412  | 0   | 5   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 5.000 | 119.476  | 0.287 | 0.528 | 0.860 | 3.972 | 0.609  | 3.000      | 2706.000    | 786135.000    | 1885.216   |
| 407   | 0   | 402  | 0   | 5   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 5.000 | 113.620  | 0.279 | 0.656 | 0.952 | 2.500 | 0.489  | 0.000      | 34.000      | 93.000        | 0.229      |
| 417   | 0   | 415  | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 4.004 | 98.588   | 0.236 | 0.496 | 0.872 | 2.892 | 0.487  | 15.000     | 437.000     | 155573.000    | 373.077    |
| 415   | 0   | 413  | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 2.424 | 94.876   | 0.229 | 0.508 | 0.660 | 1.304 | 0.277  | 0.000      | 246.000     | 268.000       | 0.646      |
| 367   | 0   | 365  | 0   | 2   | 0   | GET    | /api/users/me                                                            | 0.004 | 5.000 | 71.976   | 0.196 | 0.472 | 0.864 | 1.712 | 0.436  | 0.000      | 63.000      | 20798.000     | 56.670     |
| 321   | 0   | 315  | 0   | 6   | 0   | POST   | /api/courses                                                             | 0.004 | 5.000 | 68.468   | 0.213 | 0.560 | 0.892 | 1.552 | 0.454  | 36.000     | 43.000      | 11468.000     | 35.726     |
| 204   | 0   | 200  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 5.000 | 46.180   | 0.226 | 0.532 | 0.916 | 2.012 | 0.488  | 0.000      | 23.000      | 60.000        | 0.294      |
| 23    | 0   | 19   | 0   | 4   | 0   | GET    | /api/users/me/grades                                                     | 0.148 | 5.004 | 20.756   | 0.902 | 5.000 | 5.004 | 5.004 | 1.692  | 25764.000  | 27612.000   | 324549.000    | 14110.826  |
| 150   | 0   | 147  | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 1.188 | 13.172   | 0.088 | 0.192 | 0.392 | 0.980 | 0.172  | 0.000      | 26.000      | 78.000        | 0.520      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /initialize                                                              | 0.824 | 1.104 | 1.928    | 0.964 | 1.104 | 1.104 | 1.104 | 0.140  | 18.000     | 18.000      | 36.000        | 18.000     |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.000 | 0.042 | 0.882    | 0.013 | 0.026 | 0.030 | 0.042 | 0.010  | 460356.000 | 460356.000  | 32224920.000  | 460356.000 |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.000 | 0.020 | 0.424    | 0.006 | 0.011 | 0.015 | 0.020 | 0.005  | 1524.000   | 1524.000    | 106680.000    | 1524.000   |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.000 | 0.020 | 0.389    | 0.006 | 0.011 | 0.015 | 0.020 | 0.005  | 26580.000  | 26580.000   | 1860600.000   | 26580.000  |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.020 | 0.257    | 0.004 | 0.011 | 0.014 | 0.020 | 0.005  | 2943.000   | 2943.000    | 206010.000    | 2943.000   |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 167090.000    | 2387.000   |
+-------+-----+------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
