+-------+-----+------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 8221  | 0   | 8156 | 0   | 65  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.004 | 5.004 | 6425.282 | 0.782 | 1.676 | 2.344 | 4.544 | 0.798  | 0.000      | 42.000      | 155.000       | 0.019      |
| 9231  | 0   | 9220 | 0   | 11  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.000 | 2039.549 | 0.221 | 0.492 | 0.820 | 2.204 | 0.411  | 313.000    | 608.000     | 3678639.000   | 398.509    |
| 8210  | 0   | 8196 | 0   | 14  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 1740.367 | 0.212 | 0.500 | 0.784 | 2.112 | 0.427  | 491.000    | 1565.000    | 5753466.000   | 700.788    |
| 5247  | 0   | 5240 | 0   | 7   | 0   | GET    | /api/announcements                                                       | 0.004 | 5.004 | 1045.843 | 0.199 | 0.480 | 0.768 | 1.872 | 0.387  | 681.000    | 4240.000    | 17325888.000  | 3302.056   |
| 1125  | 0   | 1123 | 0   | 2   | 0   | GET    | /api/courses                                                             | 0.000 | 5.000 | 232.102  | 0.206 | 0.504 | 0.816 | 2.044 | 0.390  | 6142.000   | 8044.000    | 4107376.000   | 3651.001   |
| 356   | 0   | 352  | 0   | 4   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.040 | 5.004 | 157.273  | 0.442 | 1.016 | 1.192 | 2.896 | 0.532  | 22.000     | 1182558.000 | 175372492.000 | 492619.360 |
| 42    | 0   | 18   | 0   | 24  | 0   | GET    | /api/users/me/grades                                                     | 0.144 | 5.004 | 120.528  | 2.870 | 5.000 | 5.000 | 5.004 | 2.410  | 24979.000  | 25813.000   | 288186.000    | 6861.571   |
| 450   | 0   | 444  | 0   | 6   | 0   | POST   | /api/announcements                                                       | 0.004 | 5.004 | 120.508  | 0.268 | 0.552 | 0.952 | 2.804 | 0.531  | 0.000      | 23.000      | 60.000        | 0.133      |
| 368   | 0   | 367  | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.008 | 4.380 | 92.579   | 0.252 | 0.552 | 0.832 | 2.068 | 0.423  | 3.000      | 2781.000    | 668189.000    | 1815.731   |
