+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9319  | 0   | 9249  | 0   | 70  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.016 | 5.004 | 6878.741 | 0.738 | 1.652 | 2.388 | 4.440 | 0.817  | 0.000      | 42.000      | 155.000       | 0.017      |
| 10564 | 0   | 10554 | 0   | 10  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 2203.566 | 0.209 | 0.456 | 0.788 | 2.128 | 0.415  | 312.000    | 591.000     | 4198318.000   | 397.417    |
| 9287  | 0   | 9278  | 0   | 9   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1777.329 | 0.191 | 0.436 | 0.736 | 1.993 | 0.403  | 292.000    | 1690.000    | 6708300.000   | 722.332    |
| 5496  | 0   | 5490  | 0   | 6   | 0   | GET    | /api/announcements                                                       | 0.000 | 5.004 | 998.519  | 0.182 | 0.424 | 0.668 | 1.940 | 0.376  | 442.000    | 4084.000    | 18343233.000  | 3337.561   |
| 81    | 0   | 18    | 0   | 63  | 0   | GET    | /api/users/me/grades                                                     | 0.112 | 5.008 | 311.792  | 3.849 | 5.004 | 5.004 | 5.008 | 2.082  | 26502.000  | 27555.000   | 296640.000    | 3662.222   |
| 1335  | 0   | 1334  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.704 | 268.964  | 0.201 | 0.416 | 0.804 | 2.560 | 0.443  | 3.000      | 7908.000    | 5159788.000   | 3865.010   |
| 608   | 0   | 602   | 0   | 6   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.028 | 5.004 | 256.125  | 0.421 | 0.932 | 1.176 | 3.204 | 0.588  | 23556.000  | 1182691.000 | 200966585.000 | 330537.146 |
| 728   | 0   | 723   | 0   | 5   | 0   | POST   | /api/announcements                                                       | 0.008 | 5.004 | 146.353  | 0.201 | 0.468 | 0.732 | 1.520 | 0.379  | 0.000      | 23.000      | 60.000        | 0.082      |
| 595   | 0   | 588   | 0   | 7   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 5.000 | 130.468  | 0.219 | 0.476 | 0.768 | 2.704 | 0.477  | 0.000      | 34.000      | 93.000        | 0.156      |
