+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9276  | 0   | 9189  | 0   | 87  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.016 | 5.004 | 6653.715 | 0.717 | 1.500 | 2.336 | 4.768 | 0.817  | 0.000      | 42.000      | 155.000       | 0.017      |
| 10471 | 0   | 10456 | 0   | 15  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 2163.014 | 0.207 | 0.464 | 0.728 | 2.196 | 0.423  | 306.000    | 562.000     | 4185715.000   | 399.744    |
| 9230  | 0   | 9218  | 0   | 12  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1712.891 | 0.186 | 0.412 | 0.688 | 2.129 | 0.399  | 550.000    | 1623.000    | 6709062.000   | 726.876    |
| 5785  | 0   | 5778  | 0   | 7   | 0   | GET    | /api/announcements                                                       | 0.000 | 5.000 | 1060.136 | 0.183 | 0.404 | 0.664 | 1.920 | 0.397  | 400.000    | 4103.000    | 19666400.000  | 3399.551   |
| 95    | 0   | 18    | 0   | 77  | 0   | GET    | /api/users/me/grades                                                     | 0.108 | 5.004 | 381.752  | 4.018 | 5.004 | 5.004 | 5.004 | 1.964  | 26884.000  | 28436.000   | 298737.000    | 3144.600   |
| 1455  | 0   | 1454  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.640 | 266.964  | 0.183 | 0.444 | 0.700 | 1.860 | 0.369  | 3.000      | 7997.000    | 5219332.000   | 3587.170   |
| 559   | 0   | 556   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.024 | 3.584 | 214.664  | 0.384 | 0.920 | 1.108 | 2.116 | 0.424  | 14.000     | 1182820.000 | 199894268.000 | 357592.608 |
| 679   | 0   | 673   | 0   | 6   | 0   | POST   | /api/announcements                                                       | 0.004 | 5.000 | 154.208  | 0.227 | 0.436 | 0.816 | 2.952 | 0.516  | 0.000      | 23.000      | 60.000        | 0.088      |
| 550   | 0   | 544   | 0   | 6   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.012 | 5.000 | 147.136  | 0.268 | 0.584 | 1.072 | 3.412 | 0.566  | 0.000      | 34.000      | 93.000        | 0.169      |
| 691   | 0   | 684   | 0   | 7   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 131.900  | 0.191 | 0.428 | 0.744 | 2.728 | 0.432  | 42.000     | 42.000      | 28892.000     | 41.812     |
| 478   | 0   | 476   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 2.908 | 95.060   | 0.199 | 0.444 | 0.664 | 2.164 | 0.328  | 0.000      | 246.000     | 268.000       | 0.561      |
