+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9345  | 0   | 9242  | 0   | 103 | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.020 | 5.004 | 6349.971 | 0.680 | 1.400 | 2.044 | 4.996 | 0.780  | 0.000      | 42.000      | 155.000       | 0.017      |
| 10439 | 0   | 10415 | 0   | 24  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 1975.947 | 0.189 | 0.420 | 0.684 | 1.792 | 0.388  | 324.000    | 606.000     | 4186935.000   | 401.086    |
| 9285  | 0   | 9259  | 0   | 26  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.008 | 5.004 | 1648.308 | 0.178 | 0.400 | 0.644 | 2.008 | 0.412  | 787.000    | 1682.000    | 6779384.000   | 730.144    |
| 6182  | 0   | 6166  | 0   | 16  | 0   | GET    | /api/announcements                                                       | 0.000 | 5.004 | 1121.499 | 0.181 | 0.408 | 0.672 | 1.820 | 0.400  | 38.000     | 4049.000    | 20821798.000  | 3368.133   |
| 862   | 0   | 846   | 0   | 16  | 0   | POST   | /api/announcements                                                       | 0.004 | 5.004 | 627.566  | 0.728 | 1.644 | 2.628 | 5.000 | 0.930  | 0.000      | 23.000      | 60.000        | 0.070      |
| 1613  | 0   | 1611  | 0   | 2   | 0   | GET    | /api/courses                                                             | 0.004 | 5.000 | 301.298  | 0.187 | 0.464 | 0.740 | 1.805 | 0.361  | 3.000      | 8061.000    | 6523768.000   | 4044.493   |
| 72    | 0   | 18    | 0   | 54  | 0   | GET    | /api/users/me/grades                                                     | 0.108 | 5.004 | 266.420  | 3.700 | 5.000 | 5.000 | 5.004 | 2.171  | 26645.000  | 27375.000   | 301294.000    | 4184.639   |
| 732   | 0   | 729   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.020 | 4.716 | 259.510  | 0.355 | 0.872 | 1.112 | 2.432 | 0.460  | 14.000     | 1183186.000 | 201825455.000 | 275717.835 |
| 720   | 0   | 714   | 0   | 6   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.004 | 5.000 | 155.793  | 0.216 | 0.420 | 0.668 | 2.676 | 0.498  | 0.000      | 34.000      | 93.000        | 0.129      |
| 868   | 0   | 858   | 0   | 10  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 153.205  | 0.177 | 0.396 | 0.772 | 1.380 | 0.452  | 42.000     | 42.000      | 36200.000     | 41.705     |
| 523   | 0   | 522   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 3.505 | 105.124  | 0.201 | 0.488 | 0.744 | 1.876 | 0.352  | 3.000      | 2853.000    | 1061905.000   | 2030.411   |
| 526   | 0   | 524   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.008 | 2.748 | 98.662   | 0.188 | 0.444 | 0.632 | 1.408 | 0.278  | 0.000      | 246.000     | 268.000       | 0.510      |
| 525   | 0   | 523   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 4.232 | 97.902   | 0.186 | 0.508 | 0.664 | 1.500 | 0.325  | 15.000     | 505.000     | 198006.000    | 377.154    |
| 487   | 0   | 485   | 0   | 2   | 0   | GET    | /api/users/me                                                            | 0.004 | 5.000 | 74.279   | 0.153 | 0.364 | 0.556 | 1.448 | 0.364  | 54.000     | 63.000      | 27555.000     | 56.581     |
| 437   | 0   | 432   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 3.944 | 72.251   | 0.165 | 0.376 | 0.564 | 2.308 | 0.387  | 20.000     | 43.000      | 15680.000     | 35.881     |
| 299   | 0   | 296   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 1.961 | 43.409   | 0.145 | 0.388 | 0.640 | 1.468 | 0.253  | 0.000      | 23.000      | 60.000        | 0.201      |
