+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9660  | 0   | 9582  | 0   | 78  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.020 | 5.004 | 6585.434 | 0.682 | 1.444 | 2.144 | 4.592 | 0.779  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10621 | 0   | 10607 | 0   | 14  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.008 | 5.004 | 2029.070 | 0.191 | 0.432 | 0.700 | 2.004 | 0.383  | 307.000    | 598.000     | 4246380.000   | 399.810    |
| 9630  | 0   | 9615  | 0   | 15  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 1722.611 | 0.179 | 0.400 | 0.664 | 1.900 | 0.399  | 215.000    | 1652.000    | 6987146.000   | 725.560    |
| 6223  | 0   | 6217  | 0   | 6   | 0   | GET    | /api/announcements                                                       | 0.000 | 5.004 | 1095.311 | 0.176 | 0.408 | 0.664 | 1.796 | 0.368  | 911.000    | 4028.000    | 21253975.000  | 3415.390   |
| 663   | 0   | 654   | 0   | 9   | 0   | POST   | /api/announcements                                                       | 0.008 | 5.004 | 462.251  | 0.697 | 1.648 | 2.656 | 4.952 | 0.919  | 0.000      | 23.000      | 60.000        | 0.090      |
| 78    | 0   | 18    | 0   | 60  | 0   | GET    | /api/users/me/grades                                                     | 0.108 | 5.004 | 296.488  | 3.801 | 5.000 | 5.004 | 5.004 | 2.114  | 27411.000  | 28204.000   | 305776.000    | 3920.205   |
| 556   | 0   | 550   | 0   | 6   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.024 | 5.000 | 236.584  | 0.426 | 0.984 | 1.264 | 3.072 | 0.573  | 22.000     | 1182578.000 | 209843024.000 | 377415.511 |
| 1467  | 0   | 1466  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.960 | 221.844  | 0.151 | 0.332 | 0.580 | 1.600 | 0.325  | 3.000      | 7872.000    | 5720931.000   | 3899.748   |
| 548   | 0   | 541   | 0   | 7   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.012 | 5.004 | 139.941  | 0.255 | 0.584 | 1.152 | 2.576 | 0.524  | 0.000      | 34.000      | 93.000        | 0.170      |
| 671   | 0   | 665   | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.136 | 104.254  | 0.155 | 0.372 | 0.744 | 1.428 | 0.303  | 15.000     | 42.000      | 28094.000     | 41.869     |
| 480   | 0   | 479   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 3.292 | 95.292   | 0.199 | 0.372 | 0.636 | 3.012 | 0.421  | 3.000      | 2775.000    | 960861.000    | 2001.794   |
| 484   | 0   | 482   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 3.104 | 84.712   | 0.175 | 0.320 | 0.556 | 2.316 | 0.352  | 0.000      | 246.000     | 268.000       | 0.554      |
| 482   | 0   | 480   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 3.312 | 66.216   | 0.137 | 0.312 | 0.508 | 1.316 | 0.297  | 15.000     | 502.000     | 180481.000    | 374.442    |
| 400   | 0   | 399   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 3.944 | 61.660   | 0.154 | 0.300 | 0.560 | 2.444 | 0.416  | 22.000     | 63.000      | 22645.000     | 56.612     |
| 352   | 0   | 347   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 4.372 | 50.560   | 0.144 | 0.276 | 0.440 | 1.640 | 0.359  | 20.000     | 43.000      | 12620.000     | 35.852     |
| 237   | 0   | 234   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 4.496 | 34.896   | 0.147 | 0.344 | 0.496 | 3.080 | 0.443  | 0.000      | 23.000      | 60.000        | 0.253      |
| 151   | 0   | 148   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.368 | 8.484    | 0.056 | 0.136 | 0.180 | 0.332 | 0.068  | 0.000      | 26.000      | 78.000        | 0.517      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.540 | 0.904 | 1.444    | 0.722 | 0.904 | 0.904 | 0.904 | 0.182  | 18.000     | 18.000      | 36.000        | 18.000     |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.029 | 0.644    | 0.009 | 0.020 | 0.022 | 0.029 | 0.007  | 460356.000 | 460356.000  | 32224920.000  | 460356.000 |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.001 | 0.015 | 0.290    | 0.004 | 0.011 | 0.011 | 0.015 | 0.004  | 1524.000   | 1524.000    | 106680.000    | 1524.000   |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.001 | 0.015 | 0.276    | 0.004 | 0.011 | 0.011 | 0.015 | 0.004  | 26580.000  | 26580.000   | 1860600.000   | 26580.000  |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.015 | 0.221    | 0.003 | 0.010 | 0.011 | 0.015 | 0.004  | 2943.000   | 2943.000    | 206010.000    | 2943.000   |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 167090.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
