+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9848  | 0   | 9799  | 0   | 49  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.024 | 5.004 | 6667.071 | 0.677 | 1.432 | 2.004 | 4.076 | 0.732  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10968 | 0   | 10962 | 0   | 6   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.000 | 2061.083 | 0.188 | 0.432 | 0.712 | 1.740 | 0.350  | 307.000    | 623.000     | 4534672.000   | 413.446    |
| 9842  | 0   | 9837  | 0   | 5   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1730.932 | 0.176 | 0.400 | 0.664 | 1.856 | 0.371  | 789.000    | 1641.000    | 7513267.000   | 763.388    |
| 6345  | 0   | 6339  | 0   | 6   | 0   | GET    | /api/announcements                                                       | 0.004 | 5.001 | 1102.382 | 0.174 | 0.404 | 0.652 | 1.608 | 0.344  | 592.000    | 4245.000    | 22275855.000  | 3510.773   |
| 114   | 0   | 18    | 0   | 96  | 0   | GET    | /api/users/me/grades                                                     | 0.056 | 5.005 | 476.475  | 4.180 | 5.001 | 5.004 | 5.004 | 1.836  | 14703.000  | 29346.000   | 296303.000    | 2599.149   |
| 621   | 0   | 614   | 0   | 7   | 0   | POST   | /api/announcements                                                       | 0.004 | 5.000 | 357.367  | 0.575 | 1.292 | 1.764 | 4.501 | 0.737  | 0.000      | 23.000      | 60.000        | 0.097      |
| 514   | 0   | 510   | 0   | 4   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.032 | 5.000 | 207.469  | 0.404 | 0.964 | 1.136 | 1.828 | 0.492  | 47119.000  | 1184600.000 | 214459143.000 | 417235.687 |
| 1058  | 0   | 1057  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 3.908 | 170.220  | 0.161 | 0.376 | 0.648 | 1.324 | 0.294  | 3.000      | 7987.000    | 3614875.000   | 3416.706   |
| 632   | 0   | 626   | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.124 | 102.012  | 0.161 | 0.352 | 0.624 | 1.948 | 0.378  | 15.000     | 42.000      | 26456.000     | 41.861     |
| 506   | 0   | 502   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.012 | 2.896 | 97.839   | 0.193 | 0.480 | 0.688 | 1.416 | 0.291  | 0.000      | 34.000      | 93.000        | 0.184      |
| 348   | 0   | 346   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 3.156 | 73.060   | 0.210 | 0.408 | 0.740 | 2.040 | 0.345  | 0.000      | 246.000     | 268.000       | 0.770      |
| 343   | 0   | 342   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.012 | 3.688 | 61.712   | 0.180 | 0.388 | 0.524 | 1.596 | 0.335  | 3.000      | 2743.000    | 627460.000    | 1829.329   |
| 345   | 0   | 343   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 3.776 | 54.552   | 0.158 | 0.324 | 0.580 | 1.216 | 0.326  | 15.000     | 505.000     | 130678.000    | 378.777    |
| 310   | 0   | 304   | 0   | 6   | 0   | POST   | /api/courses                                                             | 0.004 | 5.000 | 51.028   | 0.165 | 0.296 | 0.676 | 2.536 | 0.464  | 36.000     | 43.000      | 11072.000     | 35.716     |
| 355   | 0   | 354   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 1.968 | 38.888   | 0.110 | 0.316 | 0.468 | 0.964 | 0.194  | 22.000     | 63.000      | 20132.000     | 56.710     |
| 201   | 0   | 198   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 2.512 | 22.956   | 0.114 | 0.316 | 0.540 | 0.824 | 0.244  | 0.000      | 23.000      | 60.000        | 0.299      |
| 153   | 0   | 150   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 3.500 | 11.368   | 0.074 | 0.164 | 0.224 | 0.556 | 0.290  | 0.000      | 26.000      | 78.000        | 0.510      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.608 | 0.912 | 1.520    | 0.760 | 0.912 | 0.912 | 0.912 | 0.152  | 18.000     | 18.000      | 36.000        | 18.000     |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.029 | 0.556    | 0.008 | 0.017 | 0.019 | 0.029 | 0.006  | 460356.000 | 460356.000  | 32224920.000  | 460356.000 |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.001 | 0.019 | 0.346    | 0.005 | 0.010 | 0.013 | 0.019 | 0.004  | 1524.000   | 1524.000    | 106680.000    | 1524.000   |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.001 | 0.019 | 0.285    | 0.004 | 0.010 | 0.013 | 0.019 | 0.004  | 26580.000  | 26580.000   | 1860600.000   | 26580.000  |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.015 | 0.162    | 0.002 | 0.008 | 0.010 | 0.015 | 0.004  | 2943.000   | 2943.000    | 206010.000    | 2943.000   |
| 70    | 0   | 70    | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 167090.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
