+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9418  | 0   | 9346  | 0   | 72  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.004 | 5.005 | 6009.398 | 0.638 | 1.328 | 1.905 | 4.520 | 0.741  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10619 | 0   | 10597 | 0   | 22  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 1973.677 | 0.186 | 0.408 | 0.652 | 2.140 | 0.406  | 324.000    | 658.000     | 4304660.000   | 405.373    |
| 9389  | 0   | 9378  | 0   | 11  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1618.712 | 0.172 | 0.384 | 0.624 | 2.000 | 0.395  | 650.000    | 1722.000    | 6911257.000   | 736.102    |
| 6217  | 0   | 6212  | 0   | 5   | 0   | GET    | /api/announcements                                                       | 0.000 | 5.008 | 1080.379 | 0.174 | 0.384 | 0.648 | 1.748 | 0.377  | 38.000     | 4131.000    | 21595885.000  | 3473.683   |
| 832   | 0   | 819   | 0   | 13  | 0   | POST   | /api/announcements                                                       | 0.008 | 5.005 | 521.168  | 0.626 | 1.304 | 1.992 | 5.000 | 0.801  | 0.000      | 23.000      | 60.000        | 0.072      |
| 95    | 0   | 18    | 0   | 77  | 0   | GET    | /api/users/me/grades                                                     | 0.004 | 5.004 | 381.796  | 4.019 | 5.000 | 5.004 | 5.004 | 1.963  | 27363.000  | 27949.000   | 303233.000    | 3191.926   |
| 693   | 0   | 688   | 0   | 5   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.016 | 5.004 | 264.365  | 0.381 | 0.932 | 1.153 | 3.328 | 0.570  | 22.000     | 1183833.000 | 203086899.000 | 293054.688 |
| 1484  | 0   | 1483  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.848 | 246.757  | 0.166 | 0.408 | 0.656 | 1.556 | 0.353  | 3.000      | 8004.000    | 6150920.000   | 4144.825   |
| 687   | 0   | 682   | 0   | 5   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.004 | 5.004 | 145.385  | 0.212 | 0.417 | 0.720 | 2.680 | 0.468  | 0.000      | 34.000      | 93.000        | 0.135      |
| 837   | 0   | 831   | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.161 | 126.134  | 0.151 | 0.356 | 0.560 | 1.344 | 0.315  | 15.000     | 42.000      | 35066.000     | 41.895     |
| 482   | 0   | 480   | 0   | 2   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 5.001 | 90.681   | 0.188 | 0.380 | 0.668 | 1.868 | 0.379  | 1991.000   | 2808.000    | 1000167.000   | 2075.035   |
| 484   | 0   | 482   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 3.364 | 83.856   | 0.173 | 0.400 | 0.604 | 1.328 | 0.282  | 0.000      | 246.000     | 268.000       | 0.554      |
