+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9529  | 0   | 9480  | 0   | 49  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.004 | 5.004 | 6352.508 | 0.667 | 1.420 | 2.020 | 3.960 | 0.723  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10569 | 0   | 10561 | 0   | 8   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 1951.500 | 0.185 | 0.424 | 0.664 | 1.736 | 0.351  | 326.000    | 639.000     | 4195065.000   | 396.922    |
| 9518  | 0   | 9511  | 0   | 7   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 1669.444 | 0.175 | 0.404 | 0.684 | 1.808 | 0.356  | 235.000    | 1649.000    | 6950408.000   | 730.238    |
| 6246  | 0   | 6241  | 0   | 5   | 0   | GET    | /api/announcements                                                       | 0.004 | 5.000 | 1128.836 | 0.181 | 0.432 | 0.668 | 1.780 | 0.348  | 38.000     | 4083.000    | 21137745.000  | 3384.205   |
| 855   | 0   | 839   | 0   | 16  | 0   | POST   | /api/announcements                                                       | 0.004 | 5.004 | 635.412  | 0.743 | 1.616 | 2.644 | 5.000 | 0.931  | 0.000      | 23.000      | 60.000        | 0.070      |
| 714   | 0   | 711   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.016 | 4.828 | 275.992  | 0.387 | 1.012 | 1.220 | 2.276 | 0.482  | 14.000     | 1181810.000 | 206258435.000 | 288877.360 |
| 1409  | 0   | 1408  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.004 | 3.796 | 257.336  | 0.183 | 0.452 | 0.732 | 1.708 | 0.332  | 3.000      | 8140.000    | 5810176.000   | 4123.617   |
| 61    | 0   | 33    | 0   | 28  | 0   | GET    | /api/users/me/grades                                                     | 0.108 | 5.004 | 192.140  | 3.150 | 5.000 | 5.004 | 5.004 | 2.119  | 15543.000  | 27688.000   | 693948.000    | 11376.197  |
| 857   | 0   | 851   | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.016 | 154.792  | 0.181 | 0.444 | 0.628 | 2.224 | 0.381  | 15.000     | 42.000      | 35906.000     | 41.897     |
| 706   | 0   | 702   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 3.296 | 132.924  | 0.188 | 0.440 | 0.660 | 1.424 | 0.301  | 0.000      | 34.000      | 93.000        | 0.132      |
| 462   | 0   | 459   | 0   | 3   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 5.000 | 117.212  | 0.254 | 0.560 | 0.976 | 2.484 | 0.447  | 0.000      | 246.000     | 268.000       | 0.580      |
| 460   | 0   | 457   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 5.000 | 89.312   | 0.194 | 0.396 | 0.740 | 1.640 | 0.402  | 346.000    | 501.000     | 171154.000    | 372.074    |
| 457   | 0   | 456   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.008 | 2.964 | 86.992   | 0.190 | 0.432 | 0.616 | 1.712 | 0.299  | 3.000      | 2848.000    | 894489.000    | 1957.306   |
| 485   | 0   | 484   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 3.424 | 85.016   | 0.175 | 0.380 | 0.724 | 2.612 | 0.383  | 22.000     | 63.000      | 27450.000     | 56.598     |
| 436   | 0   | 430   | 0   | 6   | 0   | POST   | /api/courses                                                             | 0.004 | 5.000 | 78.884   | 0.181 | 0.364 | 0.720 | 2.740 | 0.448  | 36.000     | 43.000      | 15608.000     | 35.798     |
| 301   | 0   | 297   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 4.996 | 49.588   | 0.165 | 0.364 | 0.696 | 1.460 | 0.392  | 0.000      | 23.000      | 60.000        | 0.199      |
| 154   | 0   | 151   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 2.072 | 9.784    | 0.064 | 0.108 | 0.204 | 0.872 | 0.190  | 0.000      | 26.000      | 78.000        | 0.506      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.632 | 0.993 | 1.625    | 0.812 | 0.993 | 0.993 | 0.993 | 0.180  | 18.000     | 18.000      | 36.000        | 18.000     |
| 71    | 0   | 71    | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.028 | 0.653    | 0.009 | 0.020 | 0.023 | 0.028 | 0.007  | 460356.000 | 460356.000  | 32685276.000  | 460356.000 |
| 71    | 0   | 71    | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.000 | 0.016 | 0.289    | 0.004 | 0.009 | 0.010 | 0.016 | 0.004  | 1524.000   | 1524.000    | 108204.000    | 1524.000   |
| 71    | 0   | 71    | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.000 | 0.016 | 0.264    | 0.004 | 0.009 | 0.010 | 0.016 | 0.004  | 26580.000  | 26580.000   | 1887180.000   | 26580.000  |
| 71    | 0   | 71    | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.016 | 0.130    | 0.002 | 0.005 | 0.010 | 0.016 | 0.003  | 2943.000   | 2943.000    | 208953.000    | 2943.000   |
| 71    | 0   | 71    | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 169477.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
