+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9592  | 0   | 9534  | 0   | 58  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.020 | 5.004 | 6300.315 | 0.657 | 1.400 | 2.072 | 4.192 | 0.735  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10797 | 0   | 10785 | 0   | 12  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.005 | 1993.359 | 0.185 | 0.408 | 0.664 | 1.900 | 0.377  | 323.000    | 603.000     | 4439335.000   | 411.164    |
| 9582  | 0   | 9576  | 0   | 6   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.005 | 1639.331 | 0.171 | 0.392 | 0.660 | 1.860 | 0.371  | 215.000    | 1655.000    | 7266258.000   | 758.324    |
| 6355  | 0   | 6347  | 0   | 8   | 0   | GET    | /api/announcements                                                       | 0.004 | 5.001 | 1088.119 | 0.171 | 0.404 | 0.620 | 1.760 | 0.365  | 804.000    | 4147.000    | 22016908.000  | 3464.502   |
| 811   | 0   | 802   | 0   | 9   | 0   | POST   | /api/announcements                                                       | 0.008 | 5.000 | 537.363  | 0.663 | 1.480 | 2.236 | 4.520 | 0.816  | 0.000      | 23.000      | 60.000        | 0.074      |
| 1699  | 0   | 1698  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.004 | 4.504 | 325.681  | 0.192 | 0.448 | 0.700 | 1.920 | 0.366  | 3.000      | 8119.000    | 6808013.000   | 4007.071   |
| 676   | 0   | 673   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.028 | 4.328 | 249.596  | 0.369 | 0.924 | 1.088 | 1.964 | 0.439  | 14.000     | 1182806.000 | 209991802.000 | 310638.760 |
| 821   | 0   | 814   | 0   | 7   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 139.522  | 0.170 | 0.376 | 0.624 | 2.044 | 0.389  | 42.000     | 42.000      | 34352.000     | 41.842     |
| 666   | 0   | 662   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.012 | 4.708 | 137.657  | 0.207 | 0.424 | 0.828 | 1.964 | 0.399  | 0.000      | 34.000      | 93.000        | 0.140      |
| 554   | 0   | 552   | 0   | 2   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 5.001 | 112.585  | 0.203 | 0.428 | 0.712 | 1.916 | 0.364  | 1805.000   | 2765.000    | 1173893.000   | 2118.940   |
