+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9788  | 0   | 9731  | 0   | 57  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.020 | 5.004 | 5761.447 | 0.589 | 1.228 | 1.808 | 3.732 | 0.679  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10687 | 0   | 10676 | 0   | 11  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.008 | 5.004 | 1774.185 | 0.166 | 0.376 | 0.620 | 1.520 | 0.332  | 326.000    | 639.000     | 4314253.000   | 403.692    |
| 5699  | 0   | 5687  | 0   | 12  | 0   | GET    | /api/announcements                                                       | 0.000 | 5.001 | 1595.972 | 0.280 | 0.624 | 0.960 | 2.384 | 0.461  | 768.000    | 4178.000    | 19729509.000  | 3461.925   |
| 9772  | 0   | 9758  | 0   | 14  | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.000 | 1518.649 | 0.155 | 0.340 | 0.560 | 1.712 | 0.359  | 244.000    | 1704.000    | 7210148.000   | 737.837    |
| 802   | 0   | 796   | 0   | 6   | 0   | POST   | /api/announcements                                                       | 0.004 | 5.000 | 475.442  | 0.593 | 1.400 | 1.856 | 3.616 | 0.700  | 0.000      | 23.000      | 60.000        | 0.075      |
| 1794  | 0   | 1793  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 5.004 | 271.220  | 0.151 | 0.364 | 0.580 | 1.300 | 0.290  | 3.000      | 8200.000    | 7424479.000   | 4138.506   |
| 682   | 0   | 679   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.020 | 2.616 | 231.093  | 0.339 | 0.860 | 1.056 | 1.620 | 0.373  | 14.000     | 1183102.000 | 214301712.000 | 314225.384 |
| 46    | 0   | 27    | 0   | 19  | 0   | GET    | /api/users/me/grades                                                     | 0.116 | 5.004 | 134.277  | 2.919 | 5.000 | 5.004 | 5.004 | 2.386  | 27120.000  | 28860.000   | 555028.000    | 12065.826  |
| 815   | 0   | 809   | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.960 | 132.997  | 0.163 | 0.356 | 0.620 | 1.908 | 0.399  | 15.000     | 42.000      | 34142.000     | 41.892     |
