+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9787  | 0   | 9732  | 0   | 55  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.016 | 5.004 | 5956.516 | 0.609 | 1.276 | 1.912 | 4.132 | 0.711  | 0.000      | 42.000      | 155.000       | 0.016      |
| 10792 | 0   | 10781 | 0   | 11  | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 5.004 | 1748.528 | 0.162 | 0.352 | 0.568 | 1.516 | 0.331  | 307.000    | 614.000     | 4363440.000   | 404.322    |
| 5574  | 0   | 5563  | 0   | 11  | 0   | GET    | /api/announcements                                                       | 0.000 | 5.004 | 1626.484 | 0.292 | 0.652 | 0.980 | 2.552 | 0.476  | 38.000     | 4160.000    | 19204877.000  | 3445.439   |
| 9776  | 0   | 9770  | 0   | 6   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 5.004 | 1550.512 | 0.159 | 0.364 | 0.584 | 1.740 | 0.343  | 256.000    | 1649.000    | 7356635.000   | 752.520    |
| 119   | 0   | 18    | 0   | 101 | 0   | GET    | /api/users/me/grades                                                     | 0.100 | 5.004 | 501.432  | 4.214 | 5.004 | 5.004 | 5.004 | 1.805  | 18016.000  | 28174.000   | 287190.000    | 2413.361   |
| 674   | 0   | 667   | 0   | 7   | 0   | POST   | /api/announcements                                                       | 0.008 | 5.000 | 417.692  | 0.620 | 1.480 | 2.348 | 4.164 | 0.780  | 0.000      | 23.000      | 60.000        | 0.089      |
| 1559  | 0   | 1558  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.972 | 244.896  | 0.157 | 0.384 | 0.592 | 1.520 | 0.310  | 3.000      | 7898.000    | 6027433.000   | 3866.217   |
| 567   | 0   | 563   | 0   | 4   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.024 | 5.000 | 236.860  | 0.418 | 0.976 | 1.248 | 3.148 | 0.544  | 22.000     | 1183149.000 | 215703945.000 | 380430.238 |
| 561   | 0   | 557   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.004 | 2.856 | 103.100  | 0.184 | 0.404 | 0.624 | 2.272 | 0.327  | 0.000      | 34.000      | 93.000        | 0.166      |
