+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 14542 | 0   | 14533 | 0   | 9   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.016 | 5.000 | 5559.424 | 0.382 | 0.804 | 1.196 | 2.368 | 0.447  | 0.000      | 42.000      | 155.000       | 0.011      |
| 9208  | 0   | 9206  | 0   | 2   | 0   | GET    | /api/announcements                                                       | 0.004 | 5.000 | 1748.008 | 0.190 | 0.408 | 0.648 | 1.644 | 0.309  | 38.000     | 4173.000    | 32360488.000  | 3514.388   |
| 15881 | 0   | 15878 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 4.568 | 1676.156 | 0.106 | 0.224 | 0.368 | 1.112 | 0.220  | 21.000     | 640.000     | 6440089.000   | 405.522    |
| 14549 | 0   | 14547 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.948 | 1434.520 | 0.099 | 0.224 | 0.364 | 1.136 | 0.217  | 15.000     | 1762.000    | 11559262.000  | 794.506    |
| 164   | 0   | 20    | 0   | 144 | 0   | GET    | /api/users/me/grades                                                     | 0.004 | 5.004 | 717.660  | 4.376 | 5.000 | 5.004 | 5.004 | 1.630  | 24775.000  | 31371.000   | 374442.000    | 2283.183   |
| 1260  | 0   | 1257  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.004 | 3.976 | 468.016  | 0.371 | 0.808 | 1.136 | 2.168 | 0.434  | 0.000      | 23.000      | 60.000        | 0.048      |
| 2461  | 0   | 2460  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 4.120 | 256.828  | 0.104 | 0.228 | 0.396 | 1.252 | 0.237  | 3.000      | 8249.000    | 11058366.000  | 4493.444   |
| 1122  | 0   | 1119  | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.024 | 2.588 | 208.972  | 0.186 | 0.420 | 0.588 | 0.960 | 0.221  | 14.000     | 1182999.000 | 331241808.000 | 295224.428 |
| 1276  | 0   | 1270  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.724 | 127.984  | 0.100 | 0.220 | 0.388 | 1.208 | 0.228  | 15.000     | 42.000      | 53504.000     | 41.931     |
| 1113  | 0   | 1109  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 2.064 | 120.448  | 0.108 | 0.228 | 0.348 | 1.196 | 0.194  | 0.000      | 34.000      | 93.000        | 0.084      |
| 804   | 0   | 803   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 3.680 | 98.232   | 0.122 | 0.236 | 0.372 | 1.384 | 0.289  | 3.000      | 2748.000    | 1759500.000   | 2188.433   |
| 808   | 0   | 806   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 1.708 | 90.592   | 0.112 | 0.240 | 0.404 | 1.104 | 0.184  | 0.000      | 246.000     | 268.000       | 0.332      |
| 807   | 0   | 805   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 3.068 | 86.248   | 0.107 | 0.228 | 0.428 | 1.388 | 0.242  | 15.000     | 434.000     | 302165.000    | 374.430    |
| 710   | 0   | 709   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 2.936 | 64.244   | 0.090 | 0.200 | 0.320 | 1.068 | 0.223  | 22.000     | 64.000      | 40316.000     | 56.783     |
| 635   | 0   | 630   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 3.888 | 56.940   | 0.090 | 0.200 | 0.276 | 0.960 | 0.230  | 20.000     | 43.000      | 22808.000     | 35.918     |
| 491   | 0   | 488   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 1.956 | 52.332   | 0.107 | 0.248 | 0.456 | 1.548 | 0.224  | 0.000      | 23.000      | 60.000        | 0.122      |
| 182   | 0   | 179   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.596 | 6.644    | 0.037 | 0.076 | 0.120 | 0.276 | 0.062  | 0.000      | 26.000      | 78.000        | 0.429      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.680 | 1.072 | 1.752    | 0.876 | 1.072 | 1.072 | 1.072 | 0.196  | 18.000     | 18.000      | 36.000        | 18.000     |
| 99    | 0   | 99    | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.026 | 0.706    | 0.007 | 0.018 | 0.021 | 0.026 | 0.007  | 460356.000 | 460356.000  | 45575244.000  | 460356.000 |
| 99    | 0   | 99    | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.001 | 0.016 | 0.339    | 0.003 | 0.009 | 0.013 | 0.016 | 0.004  | 1524.000   | 1524.000    | 150876.000    | 1524.000   |
| 99    | 0   | 99    | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.000 | 0.016 | 0.299    | 0.003 | 0.008 | 0.013 | 0.016 | 0.004  | 26580.000  | 26580.000   | 2631420.000   | 26580.000  |
| 99    | 0   | 99    | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.016 | 0.274    | 0.003 | 0.008 | 0.013 | 0.016 | 0.004  | 2943.000   | 2943.000    | 291357.000    | 2943.000   |
| 99    | 0   | 99    | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 236313.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
