+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 14509 | 0   | 14503 | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.012 | 4.576 | 5283.772 | 0.364 | 0.768 | 1.108 | 2.120 | 0.404  | 0.000      | 42.000      | 155.000       | 0.011      |
| 8998  | 0   | 8997  | 0   | 1   | 0   | GET    | /api/announcements                                                       | 0.000 | 4.312 | 1696.474 | 0.189 | 0.436 | 0.656 | 1.532 | 0.286  | 22.000     | 4054.000    | 30898756.000  | 3433.958   |
| 15810 | 0   | 15807 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 4.356 | 1687.557 | 0.107 | 0.232 | 0.380 | 1.080 | 0.219  | 21.000     | 603.000     | 6245937.000   | 395.062    |
| 14541 | 0   | 14539 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.008 | 3.248 | 1383.654 | 0.095 | 0.220 | 0.352 | 1.048 | 0.206  | 15.000     | 1645.000    | 11262287.000  | 774.519    |
| 168   | 0   | 20    | 0   | 148 | 0   | GET    | /api/users/me/grades                                                     | 0.080 | 5.004 | 736.996  | 4.387 | 5.000 | 5.004 | 5.004 | 1.624  | 14291.000  | 30789.000   | 346712.000    | 2063.762   |
| 1207  | 0   | 1204  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.008 | 4.468 | 434.180  | 0.360 | 0.792 | 1.144 | 2.064 | 0.412  | 0.000      | 23.000      | 60.000        | 0.050      |
| 1073  | 0   | 1070  | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.012 | 3.168 | 232.964  | 0.217 | 0.528 | 0.764 | 1.376 | 0.285  | 14.000     | 1182077.000 | 332592157.000 | 309964.732 |
| 2147  | 0   | 2146  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.000 | 3.148 | 211.928  | 0.099 | 0.240 | 0.392 | 0.964 | 0.190  | 3.000      | 8088.000    | 9568892.000   | 4456.866   |
| 1067  | 0   | 1063  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 2.464 | 135.192  | 0.127 | 0.268 | 0.440 | 1.344 | 0.227  | 0.000      | 34.000      | 93.000        | 0.087      |
| 1222  | 0   | 1216  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 2.228 | 120.824  | 0.099 | 0.232 | 0.376 | 1.148 | 0.198  | 15.000     | 42.000      | 51236.000     | 41.928     |
| 704   | 0   | 702   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.008 | 3.172 | 83.616   | 0.119 | 0.248 | 0.412 | 1.000 | 0.224  | 0.000      | 246.000     | 268.000       | 0.381      |
| 700   | 0   | 699   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.008 | 1.208 | 69.224   | 0.099 | 0.228 | 0.400 | 0.732 | 0.149  | 3.000      | 2822.000    | 1426702.000   | 2038.146   |
| 702   | 0   | 700   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 2.208 | 68.040   | 0.097 | 0.220 | 0.428 | 0.972 | 0.190  | 15.000     | 501.000     | 263308.000    | 375.083    |
| 693   | 0   | 692   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 2.332 | 61.284   | 0.088 | 0.216 | 0.332 | 1.148 | 0.206  | 22.000     | 63.000      | 39224.000     | 56.600     |
| 481   | 0   | 478   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 3.560 | 55.260   | 0.115 | 0.260 | 0.400 | 1.488 | 0.288  | 0.000      | 23.000      | 60.000        | 0.125      |
| 617   | 0   | 612   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 1.872 | 49.400   | 0.080 | 0.204 | 0.336 | 0.548 | 0.143  | 20.000     | 43.000      | 22160.000     | 35.916     |
| 182   | 0   | 179   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.744 | 8.308    | 0.046 | 0.100 | 0.164 | 0.344 | 0.079  | 0.000      | 26.000      | 78.000        | 0.429      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.692 | 1.356 | 2.048    | 1.024 | 1.356 | 1.356 | 1.356 | 0.332  | 18.000     | 18.000      | 36.000        | 18.000     |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.030 | 0.615    | 0.006 | 0.017 | 0.019 | 0.026 | 0.007  | 460356.000 | 460356.000  | 46035600.000  | 460356.000 |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.000 | 0.017 | 0.287    | 0.003 | 0.009 | 0.010 | 0.013 | 0.004  | 1524.000   | 1524.000    | 152400.000    | 1524.000   |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.000 | 0.017 | 0.279    | 0.003 | 0.009 | 0.010 | 0.013 | 0.004  | 26580.000  | 26580.000   | 2658000.000   | 26580.000  |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.013 | 0.206    | 0.002 | 0.007 | 0.009 | 0.012 | 0.003  | 2943.000   | 2943.000    | 294300.000    | 2943.000   |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 238700.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
