+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 14226 | 0   | 14217 | 0   | 9   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.004 | 5.001 | 5472.747 | 0.385 | 0.828 | 1.196 | 2.268 | 0.437  | 0.000      | 42.000      | 155.000       | 0.011      |
| 8891  | 0   | 8880  | 0   | 11  | 0   | GET    | /api/announcements                                                       | 0.000 | 4.848 | 1769.954 | 0.199 | 0.436 | 0.692 | 1.736 | 0.321  | 0.000      | 4208.000    | 31440258.000  | 3536.189   |
| 15471 | 0   | 15468 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 3.936 | 1654.850 | 0.107 | 0.232 | 0.376 | 1.124 | 0.216  | 21.000     | 638.000     | 6280036.000   | 405.923    |
| 14237 | 0   | 14235 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.012 | 3.532 | 1349.353 | 0.095 | 0.216 | 0.360 | 1.040 | 0.198  | 15.000     | 1763.000    | 11192358.000  | 786.146    |
| 176   | 0   | 15    | 0   | 160 | 1   | GET    | /api/users/me/grades                                                     | 0.000 | 5.004 | 776.245  | 4.410 | 5.000 | 5.004 | 5.004 | 1.603  | 0.000      | 31272.000   | 228146.000    | 1296.284   |
| 1209  | 0   | 1206  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.004 | 4.324 | 461.022  | 0.381 | 0.829 | 1.248 | 2.428 | 0.497  | 0.000      | 23.000      | 60.000        | 0.050      |
| 2154  | 0   | 2152  | 0   | 2   | 0   | GET    | /api/courses                                                             | 0.000 | 2.660 | 215.334  | 0.100 | 0.232 | 0.384 | 0.960 | 0.198  | 0.000      | 8138.000    | 9349116.000   | 4340.351   |
| 1078  | 0   | 1075  | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.012 | 4.184 | 212.726  | 0.197 | 0.452 | 0.608 | 1.316 | 0.275  | 14.000     | 1184479.000 | 324921510.000 | 301411.419 |
| 1068  | 0   | 1064  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.004 | 3.232 | 131.212  | 0.123 | 0.280 | 0.400 | 1.188 | 0.238  | 0.000      | 34.000      | 93.000        | 0.087      |
| 1221  | 0   | 1215  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.232 | 116.402  | 0.095 | 0.184 | 0.316 | 1.132 | 0.224  | 15.000     | 42.000      | 51194.000     | 41.928     |
| 719   | 0   | 717   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 3.564 | 82.392   | 0.115 | 0.228 | 0.348 | 1.096 | 0.241  | 0.000      | 246.000     | 268.000       | 0.373      |
| 714   | 0   | 713   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 2.928 | 81.224   | 0.114 | 0.240 | 0.396 | 1.088 | 0.243  | 3.000      | 2726.000    | 1506934.000   | 2110.552   |
| 704   | 0   | 703   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 3.192 | 64.854   | 0.092 | 0.208 | 0.312 | 1.032 | 0.236  | 22.000     | 64.000      | 39841.000     | 56.592     |
| 629   | 0   | 624   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 2.332 | 61.558   | 0.098 | 0.252 | 0.376 | 0.940 | 0.197  | 20.000     | 43.000      | 22592.000     | 35.917     |
| 715   | 0   | 713   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 2.068 | 58.565   | 0.082 | 0.208 | 0.308 | 0.628 | 0.161  | 15.000     | 501.000     | 271439.000    | 379.635    |
| 488   | 0   | 485   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 2.197 | 46.864   | 0.096 | 0.220 | 0.353 | 1.104 | 0.202  | 0.000      | 23.000      | 60.000        | 0.123      |
| 182   | 0   | 179   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.720 | 7.693    | 0.042 | 0.076 | 0.144 | 0.532 | 0.087  | 0.000      | 26.000      | 78.000        | 0.429      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.684 | 0.724 | 1.408    | 0.704 | 0.724 | 0.724 | 0.724 | 0.020  | 18.000     | 18.000      | 36.000        | 18.000     |
