+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 14523 | 0   | 14516 | 0   | 7   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.004 | 5.000 | 5783.272 | 0.398 | 0.836 | 1.224 | 2.372 | 0.442  | 0.000      | 42.000      | 155.000       | 0.011      |
| 9083  | 0   | 9072  | 0   | 11  | 0   | GET    | /api/announcements                                                       | 0.000 | 3.844 | 1831.728 | 0.202 | 0.452 | 0.692 | 1.644 | 0.305  | 0.000      | 4144.000    | 31988330.000  | 3521.780   |
| 15724 | 0   | 15721 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.008 | 3.832 | 1652.848 | 0.105 | 0.232 | 0.376 | 1.056 | 0.202  | 21.000     | 638.000     | 6426088.000   | 408.680    |
| 14537 | 0   | 14535 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.972 | 1446.980 | 0.100 | 0.236 | 0.372 | 1.020 | 0.204  | 15.000     | 1847.000    | 11635397.000  | 800.399    |
| 182   | 0   | 12    | 0   | 162 | 8   | GET    | /api/users/me/grades                                                     | 0.000 | 5.004 | 797.080  | 4.380 | 5.000 | 5.004 | 5.004 | 1.606  | 0.000      | 15205.000   | 135673.000    | 745.456    |
| 1246  | 0   | 1243  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.004 | 4.300 | 499.036  | 0.401 | 0.904 | 1.348 | 2.544 | 0.473  | 0.000      | 23.000      | 60.000        | 0.048      |
| 1099  | 0   | 1096  | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.016 | 2.952 | 220.924  | 0.201 | 0.452 | 0.616 | 1.384 | 0.262  | 14.000     | 1183764.000 | 330150700.000 | 300410.100 |
| 1906  | 0   | 1904  | 0   | 2   | 0   | GET    | /api/courses                                                             | 0.000 | 2.664 | 194.352  | 0.102 | 0.228 | 0.392 | 1.044 | 0.221  | 0.000      | 8172.000    | 8208399.000   | 4306.610   |
| 1258  | 0   | 1252  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.684 | 133.260  | 0.106 | 0.232 | 0.380 | 1.004 | 0.244  | 15.000     | 42.000      | 52748.000     | 41.930     |
| 1094  | 0   | 1090  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 3.992 | 121.036  | 0.111 | 0.240 | 0.348 | 1.188 | 0.219  | 0.000      | 34.000      | 93.000        | 0.085      |
| 630   | 0   | 629   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 2.928 | 77.272   | 0.123 | 0.280 | 0.420 | 1.424 | 0.261  | 3.000      | 2678.000    | 1268413.000   | 2013.354   |
| 734   | 0   | 733   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 2.384 | 72.024   | 0.098 | 0.228 | 0.388 | 1.252 | 0.212  | 22.000     | 64.000      | 41638.000     | 56.728     |
| 635   | 0   | 633   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 1.620 | 70.920   | 0.112 | 0.232 | 0.360 | 1.060 | 0.177  | 0.000      | 246.000     | 268.000       | 0.422      |
| 632   | 0   | 630   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 1.920 | 67.984   | 0.108 | 0.240 | 0.408 | 1.256 | 0.219  | 15.000     | 423.000     | 237335.000    | 375.530    |
| 658   | 0   | 653   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 1.708 | 62.848   | 0.096 | 0.240 | 0.364 | 1.036 | 0.177  | 20.000     | 43.000      | 23636.000     | 35.921     |
| 511   | 0   | 508   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 2.664 | 50.664   | 0.099 | 0.216 | 0.356 | 1.232 | 0.240  | 0.000      | 23.000      | 60.000        | 0.117      |
| 183   | 0   | 180   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.552 | 9.256    | 0.051 | 0.108 | 0.224 | 0.376 | 0.077  | 0.000      | 26.000      | 78.000        | 0.426      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.688 | 1.248 | 1.936    | 0.968 | 1.248 | 1.248 | 1.248 | 0.280  | 18.000     | 18.000      | 36.000        | 18.000     |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.031 | 0.735    | 0.007 | 0.019 | 0.022 | 0.031 | 0.008  | 460356.000 | 460356.000  | 46035600.000  | 460356.000 |
| 100   | 0   | 100   | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.000 | 0.019 | 0.349    | 0.003 | 0.008 | 0.012 | 0.019 | 0.004  | 1524.000   | 1524.000    | 152400.000    | 1524.000   |
