+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 13919 | 0   | 13909 | 0   | 10  | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.012 | 5.004 | 5824.752 | 0.418 | 0.864 | 1.280 | 2.528 | 0.469  | 0.000      | 42.000      | 155.000       | 0.011      |
| 8653  | 0   | 8642  | 0   | 11  | 0   | GET    | /api/announcements                                                       | 0.000 | 4.036 | 1790.604 | 0.207 | 0.444 | 0.688 | 1.852 | 0.332  | 0.000      | 4163.000    | 29833552.000  | 3447.770   |
| 15096 | 0   | 15093 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 3.812 | 1698.248 | 0.112 | 0.244 | 0.400 | 1.160 | 0.225  | 21.000     | 619.000     | 6062877.000   | 401.621    |
| 13936 | 0   | 13934 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.264 | 1575.296 | 0.113 | 0.256 | 0.416 | 1.280 | 0.244  | 15.000     | 1796.000    | 10985164.000  | 788.258    |
| 186   | 0   | 15    | 0   | 160 | 11  | GET    | /api/users/me/grades                                                     | 0.000 | 5.004 | 811.616  | 4.364 | 5.000 | 5.004 | 5.004 | 1.597  | 0.000      | 31043.000   | 228080.000    | 1226.237   |
| 1218  | 0   | 1215  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.008 | 4.564 | 518.088  | 0.425 | 0.988 | 1.400 | 2.496 | 0.504  | 0.000      | 23.000      | 60.000        | 0.049      |
| 2376  | 0   | 2374  | 0   | 2   | 0   | GET    | /api/courses                                                             | 0.000 | 3.632 | 262.668  | 0.111 | 0.260 | 0.404 | 1.152 | 0.235  | 0.000      | 8056.000    | 10613330.000  | 4466.890   |
| 1080  | 0   | 1077  | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.012 | 2.388 | 204.936  | 0.190 | 0.412 | 0.564 | 1.376 | 0.246  | 14.000     | 1182157.000 | 315200456.000 | 291852.274 |
| 1074  | 0   | 1070  | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 3.736 | 140.064  | 0.130 | 0.268 | 0.436 | 1.416 | 0.275  | 0.000      | 34.000      | 93.000        | 0.087      |
| 1231  | 0   | 1225  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 3.644 | 136.060  | 0.111 | 0.232 | 0.392 | 1.340 | 0.269  | 15.000     | 42.000      | 51614.000     | 41.929     |
| 792   | 0   | 790   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 3.152 | 94.148   | 0.119 | 0.240 | 0.452 | 1.260 | 0.216  | 0.000      | 246.000     | 268.000       | 0.338      |
| 788   | 0   | 787   | 0   | 1   | 0   | GET    | /api/users/me/courses                                                    | 0.004 | 1.984 | 90.520   | 0.115 | 0.276 | 0.416 | 1.080 | 0.195  | 3.000      | 2794.000    | 1696031.000   | 2152.324   |
| 787   | 0   | 785   | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}$                                            | 0.004 | 2.020 | 79.824   | 0.101 | 0.264 | 0.392 | 0.928 | 0.188  | 15.000     | 501.000     | 295663.000    | 375.684    |
| 709   | 0   | 708   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 2.504 | 71.852   | 0.101 | 0.224 | 0.404 | 1.204 | 0.237  | 22.000     | 64.000      | 40186.000     | 56.680     |
| 634   | 0   | 629   | 0   | 5   | 0   | POST   | /api/courses                                                             | 0.004 | 2.812 | 64.492   | 0.102 | 0.248 | 0.380 | 1.016 | 0.225  | 20.000     | 43.000      | 22772.000     | 35.918     |
| 495   | 0   | 492   | 0   | 3   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/status$                                     | 0.004 | 3.112 | 58.016   | 0.117 | 0.220 | 0.412 | 1.700 | 0.301  | 0.000      | 23.000      | 60.000        | 0.121      |
| 179   | 0   | 176   | 0   | 3   | 0   | POST   | /login                                                                   | 0.004 | 0.528 | 7.504    | 0.042 | 0.096 | 0.176 | 0.476 | 0.080  | 0.000      | 26.000      | 78.000        | 0.436      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /initialize                                                              | 0.624 | 1.192 | 1.816    | 0.908 | 1.192 | 1.192 | 1.192 | 0.284  | 18.000     | 18.000      | 36.000        | 18.000     |
| 98    | 0   | 98    | 0   | 0   | 0   | GET    | /_nuxt/app.js                                                            | 0.001 | 0.029 | 0.703    | 0.007 | 0.019 | 0.024 | 0.029 | 0.008  | 460356.000 | 460356.000  | 45114888.000  | 460356.000 |
| 98    | 0   | 98    | 0   | 0   | 0   | GET    | /_nuxt/runtime.js                                                        | 0.001 | 0.015 | 0.323    | 0.003 | 0.010 | 0.011 | 0.015 | 0.004  | 1524.000   | 1524.000    | 149352.000    | 1524.000   |
| 98    | 0   | 98    | 0   | 0   | 0   | GET    | /_nuxt/css/app.css                                                       | 0.001 | 0.015 | 0.305    | 0.003 | 0.010 | 0.011 | 0.015 | 0.004  | 26580.000  | 26580.000   | 2604840.000   | 26580.000  |
| 98    | 0   | 98    | 0   | 0   | 0   | GET    | /favicon.png                                                             | 0.000 | 0.011 | 0.176    | 0.002 | 0.007 | 0.010 | 0.011 | 0.003  | 2943.000   | 2943.000    | 288414.000    | 2943.000   |
| 98    | 0   | 98    | 0   | 0   | 0   | GET    | /                                                                        | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2387.000   | 2387.000    | 233926.000    | 2387.000   |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
