+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                    |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 14194 | 0   | 14186 | 0   | 8   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments$        | 0.012 | 5.004 | 5557.568 | 0.392 | 0.816 | 1.232 | 2.392 | 0.465  | 0.000      | 42.000      | 155.000       | 0.011      |
| 8825  | 0   | 8824  | 0   | 1   | 0   | GET    | /api/announcements                                                       | 0.004 | 4.472 | 1808.677 | 0.205 | 0.448 | 0.724 | 1.648 | 0.311  | 22.000     | 4254.000    | 31061112.000  | 3519.673   |
| 15412 | 0   | 15409 | 0   | 3   | 0   | GET    | /api/announcements/[0-9a-zA-Z]{26}$                                      | 0.004 | 4.448 | 1654.922 | 0.107 | 0.236 | 0.384 | 1.136 | 0.217  | 21.000     | 652.000     | 6224380.000   | 403.866    |
| 14211 | 0   | 14209 | 0   | 2   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 4.448 | 1419.977 | 0.100 | 0.224 | 0.376 | 1.100 | 0.218  | 15.000     | 1815.000    | 11143147.000  | 784.121    |
| 184   | 0   | 20    | 0   | 164 | 0   | GET    | /api/users/me/grades                                                     | 0.080 | 5.004 | 816.771  | 4.439 | 5.001 | 5.001 | 5.004 | 1.564  | 26324.000  | 30391.000   | 364479.000    | 1980.864   |
| 1074  | 0   | 1071  | 0   | 3   | 0   | POST   | /api/announcements                                                       | 0.004 | 4.520 | 430.021  | 0.400 | 0.892 | 1.352 | 2.552 | 0.485  | 0.000      | 23.000      | 60.000        | 0.056      |
| 2085  | 0   | 2084  | 0   | 1   | 0   | GET    | /api/courses                                                             | 0.004 | 3.268 | 216.796  | 0.104 | 0.228 | 0.396 | 1.400 | 0.246  | 3.000      | 8134.000    | 8971555.000   | 4302.904   |
| 927   | 0   | 924   | 0   | 3   | 0   | GET    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/export$ | 0.004 | 2.800 | 207.670  | 0.224 | 0.548 | 0.744 | 1.488 | 0.287  | 14.000     | 1182650.000 | 322890173.000 | 348317.339 |
| 924   | 0   | 920   | 0   | 4   | 0   | PUT    | /api/courses/[0-9a-zA-Z]{26}/classes/[0-9a-zA-Z]{26}/assignments/scores$ | 0.008 | 2.836 | 126.928  | 0.137 | 0.272 | 0.476 | 1.816 | 0.272  | 0.000      | 34.000      | 93.000        | 0.101      |
| 1089  | 0   | 1083  | 0   | 6   | 0   | POST   | /api/courses/[0-9a-zA-Z]{26}/classes$                                    | 0.004 | 2.604 | 104.233  | 0.096 | 0.220 | 0.332 | 1.080 | 0.201  | 15.000     | 42.000      | 45650.000     | 41.919     |
| 687   | 0   | 685   | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                    | 0.004 | 2.236 | 73.744   | 0.107 | 0.212 | 0.352 | 0.972 | 0.196  | 0.000      | 246.000     | 268.000       | 0.390      |
| 644   | 0   | 643   | 0   | 1   | 0   | GET    | /api/users/me                                                            | 0.004 | 3.484 | 68.626   | 0.107 | 0.248 | 0.436 | 1.292 | 0.250  | 22.000     | 63.000      | 36495.000     | 56.669     |
